"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","11","0","","0"
"0","","0","Sampler Basic Features","1","0","Entrar texto no username","0"
"0","","0","Sampler Basic Features","1","0","Login com credenciais válidas","0"
"0","","0","Sampler Basic Features","1","0","Formulário de login existe","0"
"0","","0","Sampler Data Presentation","1","0","Render data presentation sample","0"
"0","","0","Sampler Basic Features","1","0","Página de login carrega","0"
"0","","0","Sampler Basic Features","1","0","Entrar texto no password","0"
"0","","0","Sampler Basic Features","1","0","Input fields visíveis","0"
"0","","0","Bookstore - Add Product","1","0","Add a product to cart","0"
